,date,weekly_sales,holiday_flag,temperature,fuel_price, cpi ,unemployment,year,hour,day,month
0,2010-02-05,1643691.0,normal week,42.31,2.572,211,8.106,2010,0,4,February
1,2010-02-12,1641957.0,holiday week,38.51,2.548,211,8.106,2010,0,4,February
2,2010-02-19,1611968.0,normal week,39.93,2.514,211,8.106,2010,0,4,February
3,2010-02-26,1409728.0,normal week,46.63,2.561,211,8.106,2010,0,4,February
4,2010-03-05,1554807.0,normal week,46.5,2.625,211,8.106,2010,0,4,March
5,2010-03-12,1439542.0,normal week,57.79,2.667,211,8.106,2010,0,4,March
6,2010-03-19,1472516.0,normal week,54.58,2.72,211,8.106,2010,0,4,March
7,2010-03-26,1404430.0,normal week,51.45,2.732,211,8.106,2010,0,4,March
8,2010-04-02,1594968.0,normal week,62.27,2.719,211,7.808,2010,0,4,April
9,2010-04-09,1545419.0,normal week,65.86,2.77,211,7.808,2010,0,4,April
10,2010-04-16,1466058.0,normal week,66.32,2.808,210,7.808,2010,0,4,April
11,2010-04-23,1391256.0,normal week,64.84,2.795,210,7.808,2010,0,4,April
12,2010-04-30,1425101.0,normal week,67.41,2.78,210,7.808,2010,0,4,April
13,2010-05-07,1603955.0,normal week,72.55,2.835,210,7.808,2010,0,4,May
14,2010-05-14,1494252.0,normal week,74.78,2.854,210,7.808,2010,0,4,May
15,2010-05-21,1399662.0,normal week,76.44,2.826,211,7.808,2010,0,4,May
16,2010-05-28,1432070.0,normal week,80.44,2.759,211,7.808,2010,0,4,May
17,2010-06-04,1615525.0,normal week,80.69,2.705,211,7.808,2010,0,4,June
18,2010-06-11,1542561.0,normal week,80.43,2.668,211,7.808,2010,0,4,June
19,2010-06-18,1503284.0,normal week,84.11,2.637,211,7.808,2010,0,4,June
20,2010-06-25,1422712.0,normal week,84.34,2.653,211,7.808,2010,0,4,June
21,2010-07-02,1492418.0,normal week,80.91,2.669,211,7.787,2010,0,4,July
22,2010-07-09,1546074.0,normal week,80.48,2.642,211,7.787,2010,0,4,July
23,2010-07-16,1448939.0,normal week,83.15,2.623,211,7.787,2010,0,4,July
24,2010-07-23,1385065.0,normal week,83.36,2.608,211,7.787,2010,0,4,July
25,2010-07-30,1371987.0,normal week,81.84,2.64,211,7.787,2010,0,4,July
26,2010-08-06,1605492.0,normal week,87.16,2.627,212,7.787,2010,0,4,August
27,2010-08-13,1508238.0,normal week,87.0,2.692,212,7.787,2010,0,4,August
28,2010-08-20,1513080.0,normal week,86.65,2.664,212,7.787,2010,0,4,August
29,2010-08-27,1449143.0,normal week,85.22,2.619,212,7.787,2010,0,4,August
30,2010-09-03,1540164.0,normal week,81.21,2.577,212,7.787,2010,0,4,September
31,2010-09-10,1507461.0,holiday week,78.69,2.565,211,7.787,2010,0,4,September
32,2010-09-17,1430379.0,normal week,82.11,2.582,212,7.787,2010,0,4,September
33,2010-09-24,1351791.0,normal week,80.94,2.624,212,7.787,2010,0,4,September
34,2010-10-01,1453330.0,normal week,71.89,2.603,212,7.838,2010,0,4,October
35,2010-10-08,1508240.0,normal week,63.93,2.633,212,7.838,2010,0,4,October
36,2010-10-15,1459409.0,normal week,67.18,2.72,212,7.838,2010,0,4,October
37,2010-10-22,1345454.0,normal week,69.86,2.725,212,7.838,2010,0,4,October
38,2010-10-29,1384209.0,normal week,69.64,2.716,212,7.838,2010,0,4,October
39,2010-11-05,1551659.0,normal week,58.74,2.689,212,7.838,2010,0,4,November
40,2010-11-12,1494479.0,normal week,59.61,2.728,212,7.838,2010,0,4,November
41,2010-11-19,1483784.0,normal week,51.41,2.771,212,7.838,2010,0,4,November
42,2010-11-26,1955624.0,holiday week,64.52,2.735,212,7.838,2010,0,4,November
43,2010-12-03,1548034.0,normal week,49.27,2.708,212,7.838,2010,0,4,December
44,2010-12-10,1682614.0,normal week,46.33,2.843,211,7.838,2010,0,4,December
45,2010-12-17,1891035.0,normal week,49.84,2.869,211,7.838,2010,0,4,December
46,2010-12-24,2387950.0,normal week,52.33,2.886,211,7.838,2010,0,4,December
47,2010-12-31,1367320.0,holiday week,48.43,2.943,211,7.838,2010,0,4,December
48,2011-01-07,1444732.0,normal week,48.27,2.976,211,7.742,2011,0,4,January
49,2011-01-14,1391014.0,normal week,35.4,2.983,211,7.742,2011,0,4,January
50,2011-01-21,1327405.0,normal week,44.04,3.016,212,7.742,2011,0,4,January
51,2011-01-28,1316899.0,normal week,43.83,3.01,212,7.742,2011,0,4,January
52,2011-02-04,1606630.0,normal week,42.27,2.989,213,7.742,2011,0,4,February
53,2011-02-11,1649615.0,holiday week,36.39,3.022,213,7.742,2011,0,4,February
54,2011-02-18,1686843.0,normal week,57.36,3.045,213,7.742,2011,0,4,February
55,2011-02-25,1456800.0,normal week,62.9,3.065,214,7.742,2011,0,4,February
56,2011-03-04,1636263.0,normal week,59.58,3.288,214,7.742,2011,0,4,March
57,2011-03-11,1553192.0,normal week,53.56,3.459,214,7.742,2011,0,4,March
58,2011-03-18,1576818.0,normal week,62.76,3.488,214,7.742,2011,0,4,March
59,2011-03-25,1541102.0,normal week,69.97,3.473,215,7.742,2011,0,4,March
60,2011-04-01,1495065.0,normal week,59.17,3.524,215,7.682,2011,0,4,April
61,2011-04-08,1614259.0,normal week,67.84,3.622,215,7.682,2011,0,4,April
62,2011-04-15,1559889.0,normal week,71.27,3.743,215,7.682,2011,0,4,April
63,2011-04-22,1564820.0,normal week,72.99,3.807,215,7.682,2011,0,4,April
64,2011-04-29,1455091.0,normal week,72.03,3.81,216,7.682,2011,0,4,April
65,2011-05-06,1629391.0,normal week,64.61,3.906,216,7.682,2011,0,4,May
66,2011-05-13,1604776.0,normal week,75.64,3.899,216,7.682,2011,0,4,May
67,2011-05-20,1428218.0,normal week,67.63,3.907,216,7.682,2011,0,4,May
